brand,primaryCategories,colors,name,prices,prices.currency,prices.offer,sizes
City Classified,Shoes,Black,City Classified Stylish-S Women's Zipper Ankle Booties,29.95,USD,Online only,8
Skechers,Shoes,Taupe,"Skechers Women'S You Radiate, Walking",84,USD,Online only,6 M US
Floral,Shoes,Black,"FLORAL Pearl Women's Wide Width Evening Dress Shoes for Wedding, Prom, Dinner BLACK 12",49.95,USD,Online only,5
Jambu,Shoes,Black/Multi,Women's Jambu Amal Water Resistant Bootie,127.2,USD,Online only: 20% off,9.5 BM US
Trotters,Shoes,White,"trotters women's blast iii boot,black quill,11 n us",47.66,USD,Online only: 50% off,11
Adidas,Shoes,Metallic Multi Soft Leather,Women's SoftWalk Hart Quarter Strap Wedge Sandal,82.64,USD,Online only,11 M
Fitflop,Shoes,Denim Blue,Fitflop Lulu Art Denim Women's Toe Thong Slide Sandals T95-406,79.95,USD,Online only,9
The Highest Heel,Shoes,Black / Silver,THHSPECTRUM-31 6'' Prism Heel And With Plain Vamp,62.41,USD,Online only: 26% off,Size 6
The Highest Heel,Shoes,Black and White Combo,THHSPECTRUM-31 6'' Prism Heel And With Plain Vamp,62.5,USD,Online only: 26% off,Size 5
The Highest Heel,Shoes,Black / Silver,THHSPECTRUM-31 6'' Prism Heel And With Plain Vamp,62.41,USD,Online only,Size 8
Skechers Work,Shoes,Navy/Charcoal,Women's Skechers Work D'Lites SR Pooler Alloy Toe Work Shoe,103,USD,Online only: 13% off,7
Charles Albert,Shoes,Black,Charles Albert Women's Allstar Riding Knee-High Boot in Black Size: 7,29.99,USD,Online only,6 BM US
Steve Madden,Shoes,Black Multi,Steve Madden Women's Gonzo Mauve Ankle-High Pump - 5.5M,18.99,USD,Online only,7M
Soda,Shoes,Light Brown,"Chance by Soda, Bikers Stack Heel Ankle Booties w V-Cut Triangle Perforated Cutout",25,USD,Online only,5.5
Thalia Sodi,Shoes,Natural Snk Pu,Thalia Sodi Womens Zuly Peep Toe Loafers,39.6,USD,Online only: 20% off,6
Charles Albert,Shoes,Black Leopard,Charles Albert Women's Cablee Combat Boot with Plaid Foldover Cuff in Brown Size: 6,29.95,USD,Online only,8 BM US
